,the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
1523,0101000020E610000073F4F8BD4D7952C0FEB968C8785A4440,,97078,5302405001.0,,Fresh Pond Depot,66-99,Fresh Pond Road,66-99 Fresh Pond Road,Ridgewood,Queens,4.0,11385.0,40.706811,-73.89537,1013259.051,196804.0117,4087876,4036190003,405.0,30,61301,QN20,0101000020110F0000F4DF76BD32615FC106541904BAF45241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
1526,0101000020E6100000A60D87A5817B52C03A22DFA5D45F4440,,24068,5408001.0,,Sunnyside Yard,,,Skillman Avenue,Long Island City,Queens,4.0,11101.0,40.748677,-73.929788,1003704.1390000001,212047.7321,4550832,4002140001,402.0,26,17100,QN31,0101000020110F0000B801B296F0645FC1E58D347DBBFA5241,Transportation,Rail Yards and Maintenance,Amtrak Maintenance and Other Facility,,,,,,,,Public,Amtrak,Amtrak,Amtrak: Federal,Amtrak,Amtrak,,Amtrak,Amtrak: Selected Facilities and Program Sites Database,Amtrak: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,Amtrak: 2015-03-01,amtrak_facilities_sfpsd,Core Infrastructure and Transportation
1827,0101000020E61000007BA2EBC20F7A52C0BDFF8F1326604440,,116204,5402092.0,,NYCT Facility,54-21,37 Avenue,54-21 37 Avenue,Woodside,Queens,4.0,11377.0,40.751162,-73.907212,1009958.583,212959.0052,4027258,4011930001,402.0,26,25500,QN63,0101000020110F0000FEAB2B4D7C625FC1FD291FC716FB5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
1928,0101000020E6100000C780ECF5EE7F52C0D252793BC2614440,118940;199800;160801;2983;47543;134759,115763,1500000000000.0,,Hudson River Park,,,Battery Pl to W 59 St,New York,Manhattan,1.0,10036.0,40.763740000000006,-73.99896,984538.0001,217528.0,,,104.0,3,12900,MN15,0101000020110F00002ABDF8A2756C5FC16B1BFAE4E4FC5241,Parks and Plazas,Parks,City-State Park,,,,,HRPT: 550.000,HRPT: Acres,,Public,Hudson River Park Trust,HRPT,HRPT: City-State,Hudson River Park Trust,HRPT,,HRPT,HRPT: Selected Facilities and Program Sites Database,HRPT: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,HRPT: 2015-03-01,hrpt_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
2234,0101000020E6100000A8380EBC5A7D52C028D714C8EC5E4440,129507;59396;157805,129490,5405007.0,,Long Island City Yard,2,St,2 St,Long Island City,Queens,4.0,11101.0,40.741601,-73.958663,995704.808,209464.5508,4457272;4542949;4542976,4000130001;4000130035;4000130135;4000370001,402.0,26,100,QN31,0101000020110F000061441D2D14685FC1851B8190B7F95241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
2257,0101000020E61000005F0839EFFF7552C0CE52B29C84684440,,110857,5303209002.0,,Gvc II Para Administration,450,Zerega Avenue,450 Zerega Avenue,Bronx,Bronx,2.0,10473.0,40.816547,-73.843746,1027500.43,236805.7527,2021302,2035130032,209.0,18,9000,BX09,0101000020110F0000ADC0FD0C965B5FC123BF83FB79045341,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
2272,0101000020E610000027F73B14057A52C00D1D3BA8C4534440,119139,162758,5402085.0,,NYCT Facility,1029,Rockaway Avenue,1029 Rockaway Avenue,Brooklyn,Brooklyn,3.0,11236.0,40.654439,-73.90656,1010176.8309999999,177719.8418,3083083,3036440024,316.0,42,109800,BK82,0101000020110F0000D7E707286A625FC143938E1538ED5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
2333,0101000020E61000007592AD2EA77C52C09C8C2AC3B8614440,,162572,,,Northtown Park,40,River Road,40 River Road,New York,Manhattan,1.0,10044.0,40.763451,-73.947704,998736.9999,217426.9999,,1013730001,108.0,5,23801,MN31,0101000020110F0000F38E4B30E3665FC1125A8C46DAFC5241,Parks and Plazas,Parks,City-State Park,,,,,RIOC: 1.020,RIOC: Acres,City Owned,Public,Roosevelt Island Operating Corporation,RIOC,RIOC: State,Roosevelt Island Operating Corporation,RIOC,NYCDEP;NYCDOE;NYCFDNY,NYCDCAS;RIOC,NYCDCAS: City Owned and Leased Properties;RIOC: Selected Facilities and Program Sites Database,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;RIOC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYCDCAS: 2017-06-01;RIOC: 2015-03-01,dcas_facilities_colp;rioc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
2390,0101000020E610000069C36169E08C52C001309E4143434440,,167211,5306003.0,,Prince's Bay,,,Seguine Avenue,Staten Island,Staten Island,5.0,10309.0,40.525490000000005,-74.201197,928316.0,130791.0,,5066810008,503.0,51,19800,SI01,0101000020110F0000CAB7D7DD71825FC186AB495FC2DA5241,Transportation,Parking Lots and Garages,Public Park and Ride Lot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
2495,0101000020E61000004208C897507F52C0C76471FF91594440,,33496,5402063.0,,Sands St,40,Sands Street,40 Sands Street,Brooklyn,Brooklyn,3.0,11201.0,40.699768,-73.989294,987218.4815,194221.0424,3000169,3000750109,302.0,33,1300,BK38,0101000020110F0000671E10A2686B5FC1E0415A77B7F35241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
2711,0101000020E610000027A25F5B3F8052C08FAB915D69534440,,182848,5402082.0,,NYCT Facility,38,St & 5 Ave,38 St & 5 Ave,Brooklyn,Brooklyn,3.0,11232.0,40.651653,-74.003867,983176.9998,176691.0,,3007050041,307.0,38,8400,BK32,0101000020110F0000AC94A232FE6C5FC1C4E6FEE2D1EC5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
2823,0101000020E6100000FA97A432C57C52C03D61890794614440,,114695,,,Southpoint,40,River Road,40 River Road,New York,Manhattan,1.0,10044.0,40.76233,-73.949536,998229.651,217018.0114,,1013730001,108.0,5,23801,MN31,0101000020110F00000166482C16675FC11FA92A16B1FC5241,Parks and Plazas,Parks,City-State Park,,,,,RIOC: 12.110,RIOC: Acres,City Owned,Public,Roosevelt Island Operating Corporation,RIOC,RIOC: State,Roosevelt Island Operating Corporation,RIOC,NYCDEP;NYCDOE;NYCFDNY,NYCDCAS;RIOC,NYCDCAS: City Owned and Leased Properties;RIOC: Selected Facilities and Program Sites Database,NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page;RIOC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,NYCDCAS: 2017-06-01;RIOC: 2015-03-01,dcas_facilities_colp;rioc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
3030,0101000020E61000003E22A644128052C0BBD1C77C40564440,,29601,5402098.0,,NYCT Facility,201,Bush Street,201 Bush Street,Brooklyn,Brooklyn,3.0,11231.0,40.673843,-74.001115,983940.7271,184775.5267,3008563,3005620018,306.0,38,5300,BK33,0101000020110F0000F1E2279CB16C5FC12E4481FDFFEF5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
3231,0101000020E610000035ED629AE97952C0F2D3B837BF534440,,119171,5402067.0,,Linden,1500,Linden Blvd @ Rockaway Ave,1500 Linden Blvd @ Rockaway Ave,Brooklyn,Brooklyn,3.0,11236.0,40.654272999999996,-73.904883,1010642.125,177660.1207,3333459,3036440024,316.0,42,109800,BK82,0101000020110F00008923557C3B625FC12A78AAFE31ED5241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
3335,0101000020E6100000D234289A078052C092921E8656614440,,181625,5302104001.0,,M J Quill Depot,525,11 Avenue,525 11 Avenue,New York,Manhattan,1.0,10018.0,40.760453000000005,-74.00046400000001,984121.4332,216330.2378,1027086,1010880001,104.0,3,11700,MN13,0101000020110F000092FA237E9F6C5FC10328131F6CFC5241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
3384,0101000020E6100000844BC79C677752C091ED7C3F35564440,;103175,103172,5402079.0,;,NYCT Facility,1434,Sutter Avenue,1434 Sutter Avenue,Brooklyn,Brooklyn,3.0,11208.0,40.6735,-73.86569899999999,1021504.0,184679.0001,,3042710010,305.0,42,120800,BK82,0101000020110F00000838FCFFF85D5FC1286A7D67F3EF5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
3779,0101000020E61000009D9D0C8E927A52C0295C8FC2F56E4440,55576;55577,123900,5401022.0,,207 St.,3961,10 Ave at 210 St,3961 10 Ave at 210 St,New York,Manhattan,1.0,10034.0,40.866875,-73.915195,1007706.0,255115.0,,1021890001,112.0,10,29900,MN01,0101000020110F0000BD5FA2775A635FC12E4DB662B50B5341,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
3880,0101000020E6100000D8F50B76C37352C096218E7571594440,,83891,5405006.0,,Johnson Ave Yard,94,Ave,94 Ave,Jamaica,Queens,4.0,11435.0,40.698775,-73.808805,1037265.6340000001,193916.7823,4798017,4099890070,412.0,27,20800,QN61,0101000020110F0000199BACA5C9575FC1A4F1E40393F35241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
4194,0101000020E6100000A12E52280B7152C0890AD5CDC5614440,95871,148295,5405014.0,,Bayside Team Track Yard,41,Ave,41 Ave,Bayside,Queens,4.0,11361.0,40.763849,-73.766306,1048986.841,217653.8881,4567062;4603825,4062900009;4063160001,411.0,19,111300,QN46,0101000020110F00009DA2C8E72A535FC14D1045E6E8FC5241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
4806,0101000020E6100000E9F010C64F7B52C0ED2AA4FCA4564440,,153666,5303308001.0,,Mv Transportation,1882,Atlantic Avenue,1882 Atlantic Avenue,Brooklyn,Brooklyn,3.0,11233.0,40.67691,-73.926744,1004569.6140000001,185901.3724,3337881,3013380017,308.0,36,30700,BK61,0101000020110F00009D9EE0DF9B645FC14C29818870F05241,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
5030,0101000020E61000004450357A357F52C07026A60BB1584440,,114438,5402093.0,,NYCT Facility,370,Jay Street,370 Jay Street,Brooklyn,Brooklyn,3.0,11201.0,40.692903,-73.987639,987677.7053,191719.8605,3000262,3001400111,302.0,33,1100,BK38,0101000020110F0000623D1A933A6B5FC1C87E267ABBF25241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,NYCDCAS;NYCEDC,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
5117,0101000020E6100000C6A4BF97C27952C0C1525DC0CB564440,76451,76456,5402074.0,,NYCT Facility,2020,Broadway,2020 Broadway,Brooklyn,Brooklyn,3.0,11207.0,40.678093,-73.902502,1011293.305,186339.0887,3339271,3015470025,305.0,37,36700,BK79,0101000020110F00003BF60539F9615FC1049DCEF19BF05241,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,MTA,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
5287,0101000020E6100000CAC0012D5D7752C08BC22E8A1E564440,,103171,5401020.0,,Pitkin,1434,Sutter Avenue,1434 Sutter Avenue,Brooklyn,Brooklyn,3.0,11208.0,40.672807,-73.865062,1021681.0,184427.0,,3042710010,305.0,42,120800,BK82,0101000020110F0000A754B645E75D5FC10B46C1F9D9EF5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
5496,0101000020E6100000B3EBDE8AC47852C0172D40DB6A704440,19668,105027,5401003.0,,Jerome (Mosholu),3191,Jerome Ave at 205 St,3191 Jerome Ave at 205 St,Bronx,Bronx,2.0,10468.0,40.878261,-73.886996,1015500.0,259271.9999,,2032510401;2032510450,207.0,11,40900,BX28,0101000020110F0000147C57B149605FC1899D3E6F580D5341,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,City Owned,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,NYCDEP,MTA;NYCDCAS,MTA: Selected Facilities and Program Sites Database;NYCDCAS: City Owned and Leased Properties,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page;NYCDCAS: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-colp.page,MTA: 2015-03-01;NYCDCAS: 2017-06-01,dcas_facilities_colp;mta_facilities_sfpsd,Core Infrastructure and Transportation
5574,0101000020E6100000C4B0C398F47F52C089B48D3F51594440,121563;155714;160293;122632;160136;161634;31275;54267;45967,121551,,,Brooklyn Bridge Park,146,Furman Street,146 Furman Street,Brooklyn,Brooklyn,3.0,11201.0,40.697792,-73.99930400000001,984442.9999,193500.9999,,3000010001;3000160001;3000250012;3000260001;3001990003;3001990100;3002450015;3002450029,302.0,1,900,MN25,0101000020110F00006113C8357F6C5FC19DA28BEE6EF35241,Parks and Plazas,Parks,City-State Park,,,,,BBPC: 85.000,BBPC: Acres,,Public,Brooklyn Bridge Park Corporation,BBPC,BBPC: City-State,Brooklyn Bridge Park Corporation,BBPC,,BBPC,BBPC: Selected Facilities and Program Sites Database,BBPC: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,BBPC: 2015-03-01,bbpc_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
