,the_geom,uid_merged,uid,idold,idagency,facname,addressnum,streetname,address,city,boro,borocode,zipcode,latitude,longitude,xcoord,ycoord,bin,bbl,commboard,council,censtract,nta,the_geom_webmercator,facgroup,facsubgrp,factype,capacity,util,captype,utilrate,area,areatype,proptype,optype,opname,opabbrev,overlevel,overagency,overabbrev,agencyjuris,datasource,dataname,dataurl,datadate,pgtable,facdomain
317,0101000020E6100000EFAB72A1F27E52C0A06B5F402F4C4440,,22831,5402095.0,,NYCT Facility,2125,West   13 Street,2125 West   13 Street,Brooklyn,Brooklyn,3.0,11223.0,40.595192,-73.983559,988816.0174,156121.4409,3192227,3071140001,313.0,47,40200,BK29,0101000020110F00007E685B07C96A5FC179A06AACBBE45241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
447,0101000020E610000078962023A07852C097A949F086684440,,125893,5303202001.0,,Advance Transit,1340,Lafayette Avenue,1340 Lafayette Avenue,Bronx,Bronx,2.0,10474.0,40.816618,-73.884774,1016144.0,236813.9998,,2027630335,202.0,17,11700,BX27,0101000020110F0000ABD0D1DA0B605FC15DA5E5977C045341,Transportation,Bus Depots and Terminals,MTA Paratransit Vehicle Depot,,,,,,,,Non-public,Proprietary,Non-public,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
717,0101000020E6100000CBF5B6990A7952C015191D9084674440,,127785,5402064.0,,Tiffany,1170,Oak Point,1170 Oak Point,Bronx,Bronx,2.0,10474.0,40.808733000000004,-73.891272,1014349.0,233939.0,,2027710030,202.0,17,9300,BX27,0101000020110F0000EE967AB1C0605FC1DE082AA85A035341,Transportation,Rail Yards and Maintenance,NYCT Maintenance and Other Facility,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
803,0101000020E61000002524D236FE8052C0D5D0066003584440,,116546,,,South Battery,1,Governors Island,1 Governors Island,New York,Manhattan,1.0,10004.0,40.687603,-74.015516,979947.0001,189789.0001,,1000010010,101.0,1,500,MN99,0101000020110F00001BAE5263426E5FC1467C86F3F8F15241,Parks and Plazas,Parks,City-State Park,,,,,TGI: 0.500,TGI: Acres,,Public,Trust for Governors Island,TGI,TGI: City-State,Trust for Governors Island,TGI,,TGI,TGI: Selected Facilities and Program Sites Database,TGI: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,TGI: 2015-03-01,tgi_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
911,0101000020E6100000FC1A4982707152C0DE3B6A4C88594440,95192,23250,5405004.0,,Holban Yard,,,Brinkerhoff Avenue,Jamaica,Queens,4.0,11433.0,40.699472,-73.772492,1047334.0,194195.0001,4585370,4103040007;4103430005,412.0,27,42400,QN08,0101000020110F0000CA8B9D0FD7535FC1DD5AC199ACF35241,Transportation,Rail Yards and Maintenance,LIRR Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
957,0101000020E6100000CA181F662F7B52C025EA059FE6684440,,57224,5403001.0,,Mott Haven Yard,149,St,149 St,Bronx,Bronx,2.0,10451.0,40.819538,-73.924768,1005073.0,237866.0,,2024430004,204.0,17,6100,BX14,0101000020110F00007226F8E164645FC18CA5EBF8E7045341,Transportation,Rail Yards and Maintenance,Metro-North Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
1155,0101000020E61000000C1F1153227652C0EA95B20C71604440,,182118,5302481001.0,,Casey Stengel Depot,,,Horace Harding Expwy,Corona,Queens,4.0,11368.0,40.75345,-73.845845,1026959.819,213816.3047,4558183,4020181000,481.0,21,38302,QN99,0101000020110F000077D23477D05B5FC10F2325D56AFB5241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
1191,0101000020E6100000E371512D227A52C0C4EBFA05BB534440,,119124,5401025.0,,Linden,1400,Linden Boulevard,1400 Linden Boulevard,Brooklyn,Brooklyn,3.0,11212.0,40.654145,-73.908336,1009684.253,177612.4613,3083069,3036420022,316.0,42,92200,BK81,0101000020110F0000E9AA0C959B625FC111D0A14C2DED5241,Transportation,Rail Yards and Maintenance,NYCT Subway Yard,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
1212,0101000020E6100000111956F1468152C0B03A72A433584440,,116544,,,Hammock Grove,1,Governors Island,1 Governors Island,New York,Manhattan,1.0,10004.0,40.689076,-74.01995500000001,978715.9999,190326.0,,1000010010,101.0,1,500,MN99,0101000020110F0000FEB9BEECBD6E5FC1B72463032FF25241,Parks and Plazas,Parks,City-State Park,,,,,TGI: 10.000,TGI: Acres,,Public,Trust for Governors Island,TGI,TGI: City-State,Trust for Governors Island,TGI,,TGI,TGI: Selected Facilities and Program Sites Database,TGI: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,TGI: 2015-03-01,tgi_facilities_sfpsd,"Parks, Gardens, and Historical Sites"
1450,0101000020E6100000C2F869DC9B7252C08143A852B3594440,,54734,5302412002.0,,Jamaica Depot,165-18,South Road,165-18 South Road,Jamaica,Queens,4.0,11433.0,40.700784999999996,-73.790763,1042266.603,194660.4799,4216415,4101640046,412.0,27,25400,QN01,0101000020110F0000E3E0648AD3555FC1781E7DCCDCF35241,Transportation,Bus Depots and Terminals,MTA Bus Depot,,,,,,,,Public,Metropolitan Transportation Authority,MTA,MTA: State,Metropolitan Transportation Authority,MTA,,MTA,MTA: Selected Facilities and Program Sites Database,MTA: http://www1.nyc.gov/site/planning/data-maps/open-data/dwn-selfac.page,MTA: 2015-03-01,mta_facilities_sfpsd,Core Infrastructure and Transportation
